code,occupation_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
22302,Industrial engineering and manufacturing technologists and technicians,22400.0,23100.0,23200.0,23600.0,24000.0,24200.0,24400.0,24600.0,24900.0,25100.0,25400.0
22303,Construction estimators,22900.0,23200.0,24200.0,25100.0,25700.0,26300.0,26800.0,27400.0,28000.0,28500.0,29100.0
22310,Electrical and electronics engineering technologists and technicians,28500.0,28600.0,29200.0,29700.0,30000.0,30200.0,30400.0,30700.0,30800.0,31000.0,31100.0
22311,Electronic service technicians (household and business equipment),44600.0,45600.0,46700.0,47300.0,47500.0,47800.0,47900.0,48100.0,48200.0,48400.0,48600.0
22312,Industrial instrument technicians and mechanics,12100.0,12200.0,12600.0,12900.0,13100.0,13300.0,13300.0,13200.0,13300.0,13400.0,13500.0
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",3500.0,3600.0,3600.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0
30010,Managers in health care,43600.0,44600.0,45800.0,47200.0,48500.0,49900.0,51300.0,52700.0,54200.0,55600.0,57100.0
31100,Specialists in clinical and laboratory medicine,34000.0,34500.0,35400.0,36400.0,37300.0,38100.0,38900.0,39700.0,40500.0,41400.0,42300.0
31101,Specialists in surgery,10500.0,10700.0,10900.0,11200.0,11400.0,11700.0,12000.0,12300.0,12500.0,12800.0,13100.0
31102,General practitioners and family physicians,76000.0,78800.0,80600.0,83000.0,85600.0,88300.0,91100.0,94000.0,96900.0,99800.0,102900.0
31103,Veterinarians,12600.0,13100.0,13600.0,13900.0,14200.0,14400.0,14600.0,14900.0,15100.0,15400.0,15600.0
31110,Dentists,21400.0,21800.0,22400.0,23100.0,23700.0,24300.0,24900.0,25600.0,26200.0,26900.0,27600.0
31111,Optometrists,6400.0,6500.0,6700.0,6800.0,7000.0,7200.0,7400.0,7600.0,7800.0,8000.0,8200.0
31112,Audiologists and speech-language pathologists,18300.0,18900.0,19400.0,20000.0,20400.0,20800.0,21200.0,21600.0,22000.0,22400.0,22800.0
31120,Pharmacists,47700.0,47300.0,49200.0,50700.0,51900.0,53200.0,54400.0,55700.0,57000.0,58300.0,59700.0
31121,Dietitians and nutritionists,12300.0,12500.0,12800.0,13100.0,13400.0,13700.0,14000.0,14300.0,14600.0,14900.0,15200.0
31200,Psychologists,24900.0,25500.0,26100.0,26700.0,27200.0,27800.0,28400.0,29000.0,29600.0,30200.0,30900.0
31201,Chiropractors,9800.0,10200.0,10500.0,10800.0,11100.0,11400.0,11600.0,11900.0,12100.0,12400.0,12700.0
31202,Physiotherapists,38300.0,39200.0,40400.0,41700.0,43000.0,44300.0,45700.0,47000.0,48400.0,49800.0,51200.0
31203,Occupational therapists,22700.0,22800.0,23400.0,24100.0,24900.0,25700.0,26500.0,27200.0,28000.0,28900.0,29700.0
31204,Kinesiologists and other professional occupations in therapy and assessment,9400.0,9600.0,9800.0,10100.0,10300.0,10600.0,10800.0,11100.0,11300.0,11600.0,11900.0
31209,Other professional occupations in health diagnosing and treating,8700.0,8900.0,9100.0,9400.0,9600.0,9900.0,10100.0,10400.0,10600.0,10900.0,11200.0
31300,Nursing coordinators and supervisors,28000.0,28000.0,28600.0,29500.0,30500.0,31400.0,32500.0,33500.0,34600.0,35700.0,36900.0
31301,Registered nurses and registered psychiatric nurses,363100.0,370400.0,378800.0,388800.0,398300.0,408300.0,418500.0,428900.0,439200.0,449700.0,460900.0
31302,Nurse practitioners,5600.0,5700.0,5900.0,6100.0,6300.0,6500.0,6700.0,6900.0,7100.0,7300.0,7500.0
31303,"Physician assistants, midwives and allied health professionals",6400.0,6600.0,6700.0,6800.0,6900.0,7100.0,7200.0,7400.0,7500.0,7700.0,7800.0
32100,Opticians,11700.0,12500.0,12700.0,12800.0,12900.0,13100.0,13400.0,13700.0,14000.0,14300.0,14700.0
32101,Licensed practical nurses,62600.0,64300.0,64400.0,65300.0,66400.0,67900.0,69500.0,71700.0,73300.0,75000.0,76800.0
32102,Paramedical occupations,40700.0,42400.0,44000.0,45700.0,47100.0,48500.0,49900.0,51300.0,52600.0,53900.0,55300.0
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",13400.0,14200.0,13500.0,13600.0,13900.0,14200.0,14600.0,14900.0,15300.0,15700.0,16100.0
32104,Animal health technologists and veterinary technicians,25800.0,25900.0,27300.0,27800.0,28200.0,29300.0,29500.0,30400.0,30900.0,31500.0,32100.0
32109,Other technical occupations in therapy and assessment,20600.0,21000.0,21700.0,22500.0,23200.0,23900.0,24600.0,25200.0,26000.0,26700.0,27500.0
32110,Denturists,2000.0,2000.0,2000.0,2100.0,2100.0,2100.0,2200.0,2200.0,2200.0,2200.0,2200.0
32111,Dental hygienists and dental therapists,33900.0,34400.0,35200.0,36800.0,37700.0,38900.0,39900.0,40700.0,41800.0,42900.0,44000.0
32112,Dental technologists and technicians,6400.0,6800.0,6700.0,6700.0,6800.0,6800.0,6900.0,6900.0,7000.0,7000.0,7100.0
32120,Medical laboratory technologists,24300.0,24500.0,25200.0,26000.0,26700.0,27500.0,28300.0,29100.0,29900.0,30800.0,31600.0
32121,Medical radiation technologists,28100.0,28700.0,29400.0,30300.0,31100.0,31900.0,32700.0,33600.0,34400.0,35300.0,36200.0
32122,Medical sonographers,9600.0,9700.0,10000.0,10300.0,10600.0,10800.0,11100.0,11400.0,11700.0,12000.0,12300.0
32123,Cardiology technologists and electrophysiological diagnostic technologists,5600.0,5700.0,5800.0,6000.0,6200.0,6300.0,6500.0,6700.0,6800.0,7000.0,7200.0
32124,Pharmacy technicians,32600.0,32500.0,33200.0,34400.0,35100.0,35800.0,36400.0,37300.0,37900.0,38400.0,39000.0
32129,Other medical technologists and technicians,7300.0,7400.0,7500.0,7600.0,7700.0,7700.0,7800.0,7900.0,8000.0,8000.0,8100.0
32200,Traditional Chinese medicine practitioners and acupuncturists,8100.0,8300.0,8500.0,8700.0,9000.0,9200.0,9500.0,9700.0,10000.0,10200.0,10500.0
32201,Massage therapists,45000.0,45900.0,47100.0,48400.0,49700.0,51000.0,52300.0,53600.0,55000.0,56300.0,57800.0
32209,Other practitioners of natural healing,4700.0,4700.0,4900.0,5000.0,5100.0,5200.0,5300.0,5300.0,5400.0,5500.0,5600.0
33100,Dental assistants and dental laboratory assistants,38000.0,38800.0,39800.0,41000.0,42100.0,43200.0,44400.0,45500.0,46700.0,47900.0,49200.0
33101,Medical laboratory assistants and related technical occupations,33400.0,34100.0,34800.0,35700.0,36500.0,37400.0,38400.0,39400.0,40400.0,41400.0,42400.0
